name,salary,area_name,published_at
Программист Python,49184.0,Киев,2010-06-17T17:07:19+0400
Python-программист,,Москва,2010-06-18T11:28:27+0400
Программист-разработчик на Python,,Алматы,2010-06-25T08:50:54+0400
Веб-программист Python,60000.0,Москва,2010-06-29T21:11:54+0400
Программист Python,37500.0,Санкт-Петербург,2010-07-08T10:30:28+0400
Разработчик на Python,,Москва,2010-07-12T18:37:12+0400
Программист Python/Django,70000.0,Москва,2010-07-14T13:21:25+0400
Программист Python,,Москва,2010-07-15T14:35:48+0400
Программист Python,70324.0,Беларусь,2010-07-19T21:59:18+0400
Python-разработчик для web проектов,27500.0,Казань,2010-07-29T10:20:12+0400
Python-программист,,Москва,2010-08-17T18:41:53+0400
Программист Python,,Москва,2010-08-22T19:57:32+0400
Разработчик на Python + Django,80000.0,Москва,2010-08-23T10:24:07+0400
Программист Python/Perl,,Москва,2010-09-03T21:46:28+0400
Python-программист,,Москва,2010-09-20T17:12:21+0400
Опытный программист Python/Django,45000.0,Санкт-Петербург,2010-09-21T15:34:38+0400
Python-программист,,Москва,2010-09-30T14:05:59+0400
Программист Python/Django,,Москва,2010-10-05T11:48:19+0400
Python-программист,,Москва,2010-10-06T11:02:52+0400
"Team leader, программист Python и C++",,Харьков,2010-10-11T09:57:51+0400
Python-программист,,Москва,2010-10-25T15:37:08+0400
Веб-программист Python,100000.0,Калуга,2010-10-28T17:11:02+0400
Python-программист,,Москва,2010-11-10T16:54:24+0300
Программист Python,60000.0,Санкт-Петербург,2010-11-18T17:32:10+0300
Python-разработчик,19358.0,Киев,2010-11-25T10:18:40+0300
Программист Python,50000.0,Санкт-Петербург,2010-11-25T13:23:23+0300
Программист Python,45000.0,Санкт-Петербург,2010-12-20T14:57:44+0300
Инженер-программист Python,,Нижний Новгород,2010-12-27T13:08:04+0300
Программист python (django),30000.0,Уфа,2010-12-29T18:15:21+0300
Программист Python,,Санкт-Петербург,2011-01-11T11:37:59+0300
Программист Python/Django,70000.0,Москва,2011-01-13T11:46:15+0300
Программист Python,50000.0,Санкт-Петербург,2011-01-14T13:51:31+0300
Программист Python,60000.0,Санкт-Петербург,2011-01-21T15:22:54+0300
Программист Python,45000.0,Россия,2011-01-22T12:43:18+0300
Python-программист,,Москва,2011-01-27T13:05:12+0300
Программист python (django),50000.0,Москва,2011-02-07T14:15:09+0300
Программист Python,75000.0,Москва,2011-02-07T15:04:56+0300
Программист Python,47682.0,Киев,2011-02-08T16:05:42+0300
Python-разработчик,75000.0,Россия,2011-02-15T11:16:15+0300
Программист Python (Django),37500.0,Москва,2011-02-15T23:37:59+0300
Программист Python,,Тула,2011-02-17T10:49:13+0300
Программист python,,Болгария,2011-02-17T19:29:43+0300
Python-программист,10000.0,Удмуртская Республика,2011-02-21T00:36:51+0300
Программист Python,65000.0,Украина,2011-02-22T19:06:04+0300
Программист Python,65000.0,Москва,2011-02-24T15:48:56+0300
Python-программист,80000.0,Москва,2011-03-15T17:02:10+0300
Инженер-программист Python,,Нижний Новгород,2011-03-15T18:09:30+0300
Программист Python,65000.0,Москва,2011-03-28T12:37:38+0400
Разработчик на Python,,Москва,2011-03-28T13:52:58+0400
Программист Python (Django),37500.0,Юго-Центральный округ,2011-03-29T17:41:23+0400
Программист Python (Django),55000.0,Москва,2011-04-02T17:23:11+0400
Python-разработчик,17884.0,Киев,2011-04-04T10:58:54+0400
Python-разработчик,,Киев,2011-04-06T13:35:51+0400
Программист Python,80000.5,Москва,2011-04-08T13:15:44+0400
Программист Python,42500.0,Санкт-Петербург,2011-04-08T13:16:54+0400
Программист Python,,Украина,2011-04-10T08:53:45+0400
Python-программист (ведущий),110000.0,Москва,2011-04-14T12:40:58+0400
Программист Python,60000.0,Москва,2011-04-18T09:40:34+0400
Программист Python,60000.0,Москва,2011-04-21T18:22:53+0400
Программист Python/Django,40000.0,Санкт-Петербург,2011-04-25T17:44:26+0400
Python-программист,,Москва,2011-04-27T12:53:10+0400
Python-программист,10000.0,Удмуртская Республика,2011-05-12T08:40:25+0400
Веб программист Python/Django,,Москва,2011-05-18T13:50:00+0400
Программист Python,,Минск,2011-05-23T14:11:52+0400
Python-программист / разработчик,60000.0,Нижний Новгород,2011-05-23T16:02:45+0400
Python-разработчик,17264.0,Киев,2011-05-25T10:36:25+0400
Программист Python(Django),40000.0,Санкт-Петербург,2011-05-26T15:46:19+0400
Программист Python (Django),55000.0,Москва,2011-05-28T15:06:13+0400
Python-разработчик,75000.0,Санкт-Петербург,2011-05-30T16:38:12+0400
Программист Python(Django),40000.0,Санкт-Петербург,2011-06-01T11:37:04+0400
Программист Python,57500.0,Санкт-Петербург,2011-06-01T17:47:33+0400
Инженер-программист Python,,Нижний Новгород,2011-06-16T15:37:07+0400
Программист Python (Django),,Москва,2011-06-30T08:55:53+0400
Python-программист,,Алматы,2011-06-30T15:26:16+0400
Python-разработчик в веб-стартап,42078.0,Днепр (Днепропетровск),2011-06-30T17:37:58+0400
Python-разработчик,42078.0,Киев,2011-06-30T17:38:14+0400
Python-разработчик в веб-стартап,42078.0,Харьков,2011-06-30T17:38:34+0400
Веб программист Python/Django,,Москва,2011-06-30T21:04:59+0400
Программист Python,57500.0,Санкт-Петербург,2011-07-05T18:57:50+0400
Разработчик на Python/Django,80000.0,Москва,2011-07-19T20:47:32+0400
Python-программист,,Минск,2011-07-20T10:59:28+0400
Программист Python,35000.0,Санкт-Петербург,2011-07-20T18:00:07+0400
Программист Python (Django),55000.0,Москва,2011-08-02T13:33:11+0400
Python-программист,,Москва,2011-08-03T21:11:11+0400
Ведущий программист Python,60000.0,Москва,2011-08-04T16:02:41+0400
Программист Python,60000.0,Москва,2011-08-08T01:04:26+0400
Программист Python,57500.0,Санкт-Петербург,2011-08-09T11:21:06+0400
Веб программист Python/Django,110000.0,Москва,2011-08-09T20:16:07+0400
Программист Python/C++,,Москва,2011-08-11T22:17:39+0400
Python-разработчик,,Москва,2011-08-12T14:00:38+0400
Программист Python,,Москва,2011-08-12T17:12:09+0400
Инженер-программист Python,,Нижний Новгород,2011-08-15T15:58:05+0400
"Программист Python, Django",,Киев,2011-08-16T17:56:33+0400
"Программист Python, Django",,Чернигов,2011-08-16T17:56:42+0400
Программист Python,45000.0,Санкт-Петербург,2011-08-16T18:08:24+0400
Программист Python,45000.0,Санкт-Петербург,2011-08-22T17:33:24+0400
Программист Python,,Санкт-Петербург,2011-08-30T12:27:50+0400
Программист Python/Django,,Санкт-Петербург,2011-08-30T15:53:00+0400
Python-программист,55359.0,Киев,2011-08-30T18:07:18+0400
Программист Python,,Москва,2011-09-01T10:39:36+0400
Программист python,,Москва,2011-09-01T12:28:23+0400
Python-программист,,Днепр (Днепропетровск),2011-09-01T15:10:22+0400
Программист Python/Perl,,Москва,2011-09-05T19:33:28+0400
Python-разработчик в Минске,47730.0,Минск,2011-09-06T17:11:24+0400
Программист Python,,Санкт-Петербург,2011-09-15T16:33:46+0400
Программист Python (Кривой Рог),,Кривой Рог,2011-09-19T17:23:21+0400
Программист Python (Полтава),,Полтава,2011-09-19T17:23:21+0400
Программист Python (Мариуполь),,Мариуполь,2011-09-19T17:23:21+0400
Программист Python,,Запорожье,2011-09-19T17:23:22+0400
Инженер-программист Python,,Нижний Новгород,2011-09-20T10:06:24+0400
Программист Python/C++,,Москва,2011-09-20T11:16:13+0400
Python-инженер,75000.0,Москва,2011-09-20T21:22:49+0400
"Team leader, программист Python и C++",,Харьков,2011-09-21T10:14:32+0400
Программист Python от Junior до Senior,,Харьков,2011-09-21T10:14:37+0400
Программист Python,50000.0,Санкт-Петербург,2011-09-26T11:14:47+0400
Программист Python,45000.0,Санкт-Петербург,2011-09-28T14:39:17+0400
Веб программист Python/Django,110000.0,Москва,2011-09-29T15:39:24+0400
Программист Python,,Москва,2011-09-30T11:08:01+0400
Python-программист / разработчик,70000.0,Нижний Новгород,2011-10-04T14:39:09+0400
Программист Python (Django),55000.0,Москва,2011-10-05T12:36:35+0400
Программист Python,60000.0,Москва,2011-10-06T18:13:06+0400
Python-программист / разработчик,65000.0,Нижний Новгород,2011-10-06T21:39:07+0400
Ведущий программист Python,,Санкт-Петербург,2011-10-07T13:43:25+0400
Python-разработчик,,Москва,2011-10-08T01:06:51+0400
Ведущий python-разработчик,,Киев,2011-10-11T17:38:44+0400
Программист Python/Perl,,Москва,2011-10-21T16:18:54+0400
"Программист Python, Django",,Киев,2011-10-22T03:44:43+0400
"Программист Python, Django",,Винница,2011-10-22T03:54:03+0400
Программист Python от Junior до Senior,,Харьков,2011-10-22T22:10:30+0400
Программист python,50000.0,Санкт-Петербург,2011-10-26T12:07:18+0400
Программист python,,Москва,2011-10-31T10:36:26+0400
Программист Python,,Москва,2011-11-01T16:32:55+0400
Программист Python,,Москва,2011-11-02T10:56:04+0400
Программист Python,85000.0,Москва,2011-11-02T22:31:57+0400
Программист Python,70000.0,Москва,2011-11-02T22:34:24+0400
Программист Python (Django),60000.0,Москва,2011-11-07T10:25:22+0400
Программист Python,,Москва,2011-11-07T12:53:01+0400
Программист Python,60000.0,Санкт-Петербург,2011-11-14T17:54:13+0400
Программист Python,60000.0,Москва,2011-11-17T11:35:08+0400
Веб программист Python/Django,100000.0,Москва,2011-11-24T20:30:15+0400
Веб программист Python/Django,100000.0,Москва,2011-11-24T20:53:00+0400
Python-разработчик,65000.0,Москва,2011-11-25T11:16:29+0400
C++ / Python-программист / разработчик,70000.0,Нижний Новгород,2011-11-28T15:14:32+0400
Программист Python,,Санкт-Петербург,2011-11-29T12:26:50+0400
Программист python,120000.0,Москва,2011-12-01T12:00:03+0400
Старший программист Python,,Санкт-Петербург,2011-12-14T17:40:01+0400
Программист Python,30000.0,Пенза,2011-12-21T19:13:07+0400
Ведущий программист Python,90000.0,Москва,2011-12-27T11:36:21+0400
Ведущий Python-разработчик в группу SePe,,Москва,2011-12-28T13:59:00+0400
Программист Python/Django,,Москва,2012-01-02T17:00:15+0400
Программист Python (Django),37500.0,Нижнекамск,2012-01-06T21:51:08+0400
Программист Python,,Брянск,2012-01-10T13:01:52+0400
Программист Python/Django,,Москва,2012-01-10T18:13:11+0400
Программист Python (Django),,Москва,2012-01-12T11:50:22+0400
Python-разработчик (портал kanobu.ru),,Москва,2012-01-12T14:57:11+0400
Программист Python,60000.0,Москва,2012-01-17T15:54:29+0400
Программист Python,,Краснодар,2012-01-18T22:32:05+0400
Программист Python,120000.0,Москва,2012-01-20T17:01:11+0400
Программист Python,,Москва,2012-01-27T12:25:28+0400
Программист Python,40000.0,Санкт-Петербург,2012-01-27T12:54:21+0400
Программист Python / PHP,40000.0,Санкт-Петербург,2012-01-27T15:54:03+0400
Программист Python,30000.0,Пенза,2012-01-29T08:42:45+0400
Программист Python,30000.0,Пенза,2012-01-30T17:08:10+0400
Программист Python,,Санкт-Петербург,2012-02-02T14:05:47+0400
Программист Python Senior,,Харьков,2012-02-06T10:11:45+0400
Team leader/ программист Python и C++,,Харьков,2012-02-06T10:11:45+0400
Программист Python,,Краснодар,2012-02-07T11:54:14+0400
Python-разработчик,,Минск,2012-02-07T18:52:04+0400
Старший программист Python,,Санкт-Петербург,2012-02-20T09:20:39+0400
Python-программист,,Нижний Новгород,2012-02-27T10:41:42+0400
Младший веб-разработчик на Python / Junior Python developer,,Минск,2012-02-27T13:58:38+0400
Программист Python/Django,,Минск,2012-03-01T18:30:01+0400
Программист Python,120000.0,Москва,2012-03-06T09:45:36+0400
Ведущий программист Python,70000.0,Санкт-Петербург,2012-03-06T10:13:50+0400
Программист Python/Perl,,Москва,2012-03-06T15:35:16+0400
Программист Python (рекламная система),,Москва,2012-03-07T10:53:11+0400
Программист Python,30000.0,Пенза,2012-03-11T12:24:38+0400
Программист Python,,Москва,2012-03-11T14:39:48+0400
Программист Python (Django),,Москва,2012-03-16T08:36:14+0400
Python-программист,65306.0,Минск,2012-03-16T17:27:55+0400
Сеньор программист Python (Django),,Москва,2012-03-17T20:58:34+0400
Программист Python (Django),,Киев,2012-03-18T21:11:45+0400
"Программист Python, JavaScript",31000.0,Тюмень,2012-03-19T10:34:28+0400
Программист Python,,Москва,2012-03-19T10:55:29+0400
Python-разработчик,,Минск,2012-03-19T12:21:31+0400
Программист Python,50000.0,Санкт-Петербург,2012-03-19T12:51:04+0400
Программист Python (django),100000.0,Москва,2012-03-22T11:19:06+0400
Программист Python,45000.0,Санкт-Петербург,2012-03-23T16:58:54+0400
Python-программист,25000.0,Владимир,2012-03-26T18:54:11+0400
Программист Python/django,55000.0,Санкт-Петербург,2012-03-27T12:15:43+0400
Python-программист / разработчик,75000.0,Нижний Новгород,2012-03-27T20:15:39+0400
Программист Python,,Санкт-Петербург,2012-04-02T17:00:23+0400
Программист Python,,Брянск,2012-04-03T11:29:50+0400
Программист Python (junior),57500.0,Москва,2012-04-06T16:35:20+0400
Python-программист,58656.0,Минск,2012-04-15T08:09:19+0400
Программист Python (Django),60000.0,Москва,2012-04-16T08:09:50+0400
Веб-разработчик на Python / Python developer,,Минск,2012-04-19T13:31:30+0400
Python-разработчик,20000.0,Иваново (Ивановская область),2012-04-20T08:36:22+0400
Программист Python,,Санкт-Петербург,2012-04-20T09:27:59+0400
Python-инженер,90000.0,Москва,2012-04-20T16:23:21+0400
Эксперт веб-разработчик на Python / Senior Python developer,,Минск,2012-04-23T10:28:29+0400
Программист Python,30000.0,Пенза,2012-04-23T14:17:22+0400
Программист Python,50000.0,Москва,2012-04-23T19:27:43+0400
Программист Python,,Киев,2012-04-24T16:28:59+0400
Программист Python,80000.0,Москва,2012-04-26T20:40:03+0400
Программист Python,90000.0,Москва,2012-04-27T08:46:58+0400
Python-программист / разработчик,75000.0,Нижний Новгород,2012-04-28T08:41:13+0400
Сеньор программист Python (Django),,Москва,2012-05-02T08:12:35+0400
Программист Python,95000.0,Санкт-Петербург,2012-05-03T14:58:37+0400
"Программист Python, javascripts, html",73406.0,Киев,2012-05-03T20:37:24+0400
Программист Python Django,40000.0,Тюмень,2012-05-10T10:46:09+0400
Программист Python,,Брянск,2012-05-10T18:43:40+0400
Программист Python,95000.0,Москва,2012-05-16T19:27:04+0400
"Программист Python, JavaScript",31000.0,Тюмень,2012-05-18T10:13:12+0400
Python-инженер,90000.0,Москва,2012-05-21T19:07:55+0400
Программист Python,30000.0,Пенза,2012-05-29T11:57:22+0400
Программист Python (Django),60000.0,Москва,2012-06-01T08:54:24+0400
Python-разработчик,,Воронеж,2012-06-01T17:50:50+0400
Программист Python,50000.0,Санкт-Петербург,2012-06-03T18:34:30+0400
Python-разработчик (Новый проект),,Москва,2012-06-08T11:33:21+0400
Программист Python/Ruby on Rails,55000.0,Санкт-Петербург,2012-06-12T08:20:17+0400
Программист Python,,Москва,2012-06-13T10:58:03+0400
Программист Python,,Москва,2012-06-13T17:17:24+0400
Программист Python,,Москва,2012-06-18T10:41:17+0400
Старший программист Python,85000.0,Санкт-Петербург,2012-06-22T08:13:10+0400
Программист Python,80000.0,Москва,2012-06-25T19:40:54+0400
Веб программист Python/Django,100000.0,Москва,2012-06-27T17:55:25+0400
Программист Python,45000.0,Санкт-Петербург,2012-06-27T19:31:54+0400
Программист Python (Django),,Новосибирск,2012-06-28T07:53:54+0400
Программист Python,,Санкт-Петербург,2012-06-29T08:01:16+0400
Программист Python,,Москва,2012-07-05T08:17:51+0400
Программист Python,70000.0,Санкт-Петербург,2012-07-08T08:43:02+0400
Python-разработчик,,Воронеж,2012-07-11T10:33:53+0400
Python-программист,,Воронеж,2012-07-12T09:38:20+0400
Python-программист-разработчик,,Воронеж,2012-07-13T10:38:45+0400
Программист Python,75000.0,Москва,2012-07-17T20:59:04+0400
Программист Python,90000.0,Москва,2012-07-21T08:21:51+0400
Программист Python,,Москва,2012-07-23T14:28:37+0400
Программист Python (Django),35000.0,Рязань,2012-07-25T15:07:56+0400
Программист Python,,Санкт-Петербург,2012-07-25T16:21:58+0400
Старший программист Python,85000.0,Санкт-Петербург,2012-07-26T08:51:22+0400
Python-инженер,90000.0,Москва,2012-07-27T08:08:45+0400
Веб программист Python/Django,,Москва,2012-07-31T13:05:35+0400
Программист Python,,Воронеж,2012-07-31T18:29:05+0400
Программист Python,,Воронеж,2012-08-02T10:11:32+0400
Программист Python ( freelance ),,Москва,2012-08-02T12:03:51+0400
Программист Python,45000.0,Санкт-Петербург,2012-08-02T12:47:40+0400
Программист Python,30000.0,Пенза,2012-08-03T14:17:48+0400
Программист Python,45000.0,Краснодар,2012-08-03T14:56:28+0400
Программист Python,,Москва,2012-08-03T17:30:30+0400
Программист Python+Django,70000.0,Москва,2012-08-10T08:50:01+0400
Python-программист,,Москва,2012-08-14T18:04:49+0400
Программист Python,45000.0,Санкт-Петербург,2012-08-16T13:04:33+0400
Программист Python,90000.0,Санкт-Петербург,2012-08-17T11:31:00+0400
Программист Python,60000.0,Москва,2012-08-17T12:47:32+0400
Python-программист,,Киев,2012-08-17T16:35:57+0400
Старший программист Python,89000.0,Санкт-Петербург,2012-08-26T08:49:08+0400
Python-инженер,90000.0,Москва,2012-08-28T08:01:15+0400
Программист Python (рекламная система),,Москва,2012-08-28T13:01:52+0400
Программист Python,40000.0,Москва,2012-08-31T10:51:11+0400
Программист Python,85000.0,Москва,2012-09-03T12:47:54+0400
Программист Python,30000.0,Пенза,2012-09-04T14:00:20+0400
Системный администратор/программист python,,Москва,2012-09-10T18:11:27+0400
Python-программист,,Ульяновск,2012-09-11T11:56:51+0400
Программист Python,60000.0,Москва,2012-09-16T08:12:54+0400
Программист Python - Django,42500.0,Кемерово,2012-09-17T09:56:20+0400
Программист Python - Django,42500.0,Новосибирск,2012-09-17T10:03:18+0400
Программист Python - Django,42500.0,Томск,2012-09-17T10:05:25+0400
Программист Python - Django,42500.0,Барнаул,2012-09-17T10:07:17+0400
Программист Python - Django,42500.0,Омск,2012-09-17T10:09:54+0400
Программист Python - Django,42500.0,Горно-Алтайск,2012-09-17T10:11:19+0400
Программист Python - Django,42500.0,Бердск,2012-09-17T10:13:35+0400
Программист Python - Django,42500.0,Новокузнецк,2012-09-17T10:14:49+0400
Программист Python,60000.0,Москва,2012-09-18T14:38:49+0400
Программист Python/django,60000.0,Санкт-Петербург,2012-09-19T08:22:53+0400
Python-программист / разработчик,75000.0,Нижний Новгород,2012-09-19T11:22:56+0400
Программист python,25000.0,Краснодар,2012-09-20T04:07:44+0400
Программист Python,,Ростов-на-Дону,2012-09-21T14:45:55+0400
Программист PYTHON,,Харьков,2012-09-24T10:13:14+0400
Python-инженер,90000.0,Москва,2012-09-24T11:17:10+0400
Программист Python,80000.0,Москва,2012-09-24T14:13:02+0400
Программист PYTHON,,Харьков,2012-09-25T16:21:41+0400
Python-разработчик,,Москва,2012-09-28T17:19:41+0400
Ведущий Python-разработчик,,Москва,2012-09-28T17:19:59+0400
Программист python,,Ульяновск,2012-10-01T10:49:55+0400
Программист Python,,Москва,2012-10-01T20:57:22+0400
Старший программист Python,89000.0,Санкт-Петербург,2012-10-02T08:32:36+0400
Инженер-программист Python,65000.0,Санкт-Петербург,2012-10-02T18:42:40+0400
Web программист Python / Django,,Санкт-Петербург,2012-10-05T10:10:34+0400
Программист Python,,Москва,2012-10-08T14:16:00+0400
Программист Python,,Москва,2012-10-09T17:55:06+0400
Веб-разработчик на Python,61833.0,Минск,2012-10-10T04:31:39+0400
Программист Python,,Москва,2012-10-10T15:31:02+0400
Программист Python,70000.0,Москва,2012-10-11T15:16:21+0400
Программист Python,30000.0,Пенза,2012-10-13T16:38:23+0400
Программист Python Django,40000.0,Тюмень,2012-10-15T09:48:45+0400
Программист Python/Django,70000.0,Москва,2012-10-15T15:08:07+0400
Программист Python,,Санкт-Петербург,2012-10-16T16:34:13+0400
Web-программист python,42500.0,Ростов-на-Дону,2012-10-18T15:24:47+0400
Python-программист / разработчик,75000.0,Нижний Новгород,2012-10-20T00:12:32+0400
Программист Python,60000.0,Москва,2012-10-21T08:17:20+0400
Программист Python,70000.0,Москва,2012-10-25T13:38:12+0400
Web программист Python / Django,,Санкт-Петербург,2012-10-31T14:52:46+0400
Программист python,,Минск,2012-10-31T16:20:08+0400
Программист Python разработчик,90000.0,Москва,2012-11-05T16:51:04+0400
Python-разработчик (Django),60000.0,Санкт-Петербург,2012-11-06T08:28:00+0400
Python-разработчик,75000.0,Санкт-Петербург,2012-11-06T14:35:24+0400
Программист Python,90000.0,Москва,2012-11-12T11:35:51+0400
Программист Python/Django,70000.0,Москва,2012-11-15T12:39:48+0400
Программист Python,115000.0,Москва,2012-11-18T08:07:56+0400
Программист Python/Django,30000.0,Екатеринбург,2012-11-19T15:39:55+0400
Старший программист Python,,Санкт-Петербург,2012-11-21T16:57:52+0400
Сеньор программист Python (Django),,Москва,2012-11-23T08:16:24+0400
Программист Python (Django),60000.0,Москва,2012-11-23T08:16:24+0400
Программист python,,Минск,2012-12-04T12:50:41+0400
Программист python (linux),80000.0,Москва,2012-12-09T08:50:04+0400
Разработчик программного обеспечения / программист Python,70000.0,Москва,2012-12-10T17:28:54+0400
Программист Python/Django,80000.0,Москва,2012-12-10T18:38:19+0400
"Программист Python, javascripts",69599.0,Киев,2012-12-11T18:24:08+0400
Программист Python,,Санкт-Петербург,2012-12-12T14:26:38+0400
Программист Python/Разработчик Python на платформе Linux,,Москва,2012-12-15T18:42:19+0400
Программист Python,90000.0,Москва,2012-12-16T12:54:33+0400
Программист Python,110000.0,Москва,2012-12-18T10:59:23+0400
Web-программист Python + JavaScript,,Краснодар,2012-12-18T17:28:33+0400
Web-программист Python + JavaScript,,Санкт-Петербург,2012-12-18T17:36:46+0400
Программист Python,50000.0,Нижний Новгород,2012-12-19T08:43:38+0400
Программист Python,,Москва,2012-12-24T16:36:33+0400
Инженер-программист Python,65000.0,Санкт-Петербург,2012-12-25T13:06:24+0400
Веб-программист Python / Django,28294.0,Нур-Султан,2013-01-03T16:01:52+0400
Python-разработчик,75000.0,Санкт-Петербург,2013-01-09T11:13:09+0400
Программист python,,Минск,2013-01-11T13:19:14+0400
Программист Python,70000.0,Москва,2013-01-13T08:50:11+0400
Программист Python,100000.0,Москва,2013-01-15T17:13:27+0400
Программист python / django,65000.0,Санкт-Петербург,2013-01-15T17:26:16+0400
Веб-программист Python,70000.0,Москва,2013-01-16T12:28:13+0400
Программист Python,,Санкт-Петербург,2013-01-18T12:56:29+0400
Web-программист Python / JavaScript,,Санкт-Петербург,2013-01-18T16:50:43+0400
Web-программист Python + JavaScript,,Краснодар,2013-01-18T16:52:46+0400
Программист Python,90000.0,Москва,2013-01-22T10:58:56+0400
Программист Python,98711.0,Киев,2013-01-23T16:13:57+0400
Программист Python,,Москва,2013-01-25T17:26:11+0400
Python-Программист,85000.0,Тюмень,2013-01-30T21:00:12+0400
Программист Python,,Санкт-Петербург,2013-02-07T15:57:36+0400
Программист Python,80000.0,Москва,2013-02-07T16:58:54+0400
Python-разработчик,65000.0,Москва,2013-02-08T06:54:01+0400
"Программист Python, Tornado",97552.0,Киев,2013-02-10T13:25:59+0400
Python-разработчик,,Москва,2013-02-11T13:42:50+0400
Ведущий разработчик на Python,125000.0,Москва,2013-02-11T22:34:08+0400
Программист python,35000.0,Краснодар,2013-02-12T18:31:03+0400
Junior programmer (Младший программист Python/C++),,Санкт-Петербург,2013-02-13T15:41:19+0400
Программист python \ django,70000.0,Москва,2013-02-13T18:12:13+0400
Ведущий программист python / django,100000.0,Москва,2013-02-14T10:56:54+0400
Программист Python,90000.0,Москва,2013-02-20T21:26:39+0400
Python-разработчик,90000.0,Москва,2013-02-23T08:28:11+0400
Python-программист / разработчик,80000.0,Нижний Новгород,2013-02-24T08:31:32+0400
Web-программист python,42500.0,Ростов-на-Дону,2013-02-25T09:59:44+0400
Программист Python/Django,,Минск,2013-02-25T17:00:54+0400
