area_name,count,percent
Аксай (Казахстан),745,0.01176
Чехия,742,0.01172
Ростов (Ярославская область),736,0.01162
Биробиджан,736,0.01162
Егорьевск,728,0.01150
Дзержинский,722,0.01140
Соликамск,721,0.01139
Белово,711,0.01123
Щербинка,701,0.01107
Самарканд,700,0.01105
Мариуполь,685,0.01082
Звенигород,682,0.01077
Каменск-Шахтинский,680,0.01074
Кубинка,676,0.01067
Чайковский,658,0.01039
Можайск,654,0.01033
Борисоглебск,654,0.01033
Черновцы,653,0.01031
Свободный,653,0.01031
Искитим,652,0.01030
Борисов,650,0.01026
Волжск,640,0.01011
Ивано-Франковск,639,0.01009
Темиртау,639,0.01009
Переславль-Залесский,639,0.01009
Междуреченск,632,0.00998
Финляндия,632,0.00998
Луцк,630,0.00995
Тернополь,620,0.00979
Кирово-Чепецк,615,0.00971
Нерюнгри,604,0.00954
Когалым,596,0.00941
Пушкин,594,0.00938
Славянск-на-Кубани,589,0.00930
Киселевск,576,0.00910
Малоярославец,576,0.00910
Дедовск,573,0.00905
Феодосия,573,0.00905
Московская область - Юг,572,0.00903
Серов,571,0.00902
Апатиты,568,0.00897
ОАЭ,565,0.00892
Туймазы,563,0.00889
Тихорецк,562,0.00887
Ишимбай,559,0.00883
Краснознаменск (Московская область),553,0.00873
Кропоткин,553,0.00873
Экибастуз,552,0.00872
Ровно,552,0.00872
Ржев,549,0.00867
Полоцк,549,0.00867
Лиски,548,0.00865
Алексин,547,0.00864
Кировоград,547,0.00864
Гусь-Хрустальный,547,0.00864
Мичуринск,546,0.00862
Лыткарино,545,0.00861
Темрюк,541,0.00854
Кашира,541,0.00854
Новоалтайск,534,0.00843
Бронницы,528,0.00834
Белорецк,527,0.00832
Луховицы,522,0.00824
Новоуральск,522,0.00824
Ейск,520,0.00821
Бобруйск,513,0.00810
Губкин,500,0.00790
Усинск,500,0.00790
Россошь,500,0.00790
Кириши,497,0.00785
Павлово,494,0.00780
Московский,494,0.00780
Московская область - Восток,493,0.00778
Тимашевск,489,0.00772
Вязьма,486,0.00767
Канск,485,0.00766
Нягань,484,0.00764
Балабаново,481,0.00760
Беларусь,479,0.00756
Тосно,478,0.00755
Усть-Лабинск,478,0.00755
Великобритания,477,0.00753
Балахна,476,0.00752
Железногорск (Красноярский край),475,0.00750
Мирный (Республика Саха (Якутия)),472,0.00745
Усть-Кут,471,0.00744
Узловая,464,0.00733
Благовещенск (Республика Башкортостан),463,0.00731
Китай,462,0.00730
Апрелевка,459,0.00725
Кировск (Ленинградская область),457,0.00722
Торжок,455,0.00718
Волхов,454,0.00717
Менделеевск,450,0.00711
Крымск,450,0.00711
Шадринск,448,0.00707
Жезказган,446,0.00704
Пинск,445,0.00703
Чапаевск,444,0.00701
Молодечно,444,0.00701
Воркута,443,0.00700
Шуя,439,0.00693
Кумертау,439,0.00693
Усть-Илимск,438,0.00692
Асбест,437,0.00690
Новополоцк,436,0.00688
Новотроицк (Оренбургская область),435,0.00687
Усолье-Сибирское,435,0.00687
Старая Купавна,434,0.00685
Алушта,433,0.00684
Туркестан,432,0.00682
Белебей,431,0.00681
Кунгур,428,0.00676
Михайловск (Ставропольский край),428,0.00676
Назрань,424,0.00670
Мончегорск,419,0.00662
Алексеевка,417,0.00658
Заволжье,416,0.00657
Чистополь,412,0.00651
Щекино,412,0.00651
Киржач,406,0.00641
Павловск (Воронежская область),404,0.00638
Волоколамск,403,0.00636
Сосновый Бор,402,0.00635
Латвия,401,0.00633
Каспийск,399,0.00630
Полевской,398,0.00628
Троицк (Челябинская область),397,0.00627
Руза,396,0.00625
Черноголовка,396,0.00625
Грязи,393,0.00621
Богородск,392,0.00619
Шелехов,391,0.00617
Южноуральск,390,0.00616
Жигулевск,390,0.00616
Лысьва,388,0.00613
Дербент,387,0.00611
Губкинский,385,0.00608
Шебекино,385,0.00608
Ишим,385,0.00608
Юрга,384,0.00606
Московская область - Запад,383,0.00605
Минусинск,381,0.00602
Белогорск,381,0.00602
Электроугли,380,0.00600
Балашов,379,0.00598
Северо-Западный округ,377,0.00595
Нововоронеж,374,0.00591
Краснокамск,373,0.00589
Вятские Поляны,371,0.00586
Краснотурьинск,371,0.00586
Заинск,370,0.00584
Рудный,370,0.00584
Кузнецк,369,0.00583
Белореченск,369,0.00583
Ревда,367,0.00580
Ужгород,367,0.00580
Большой Камень,364,0.00575
Озерск (Челябинская область),361,0.00570
Солигорск,361,0.00570
Сибай,360,0.00568
Мозырь,360,0.00568
Конаково,359,0.00567
Кулебаки,358,0.00565
Михайловка (Волгоградская область),357,0.00564
Сальск,353,0.00557
Людиново,353,0.00557
Кыштым,353,0.00557
Кишинёв,352,0.00556
Кольчугино,351,0.00554
Литва,348,0.00550
Кимры,346,0.00546
Хасавюрт,346,0.00546
Можга,338,0.00534
Лесосибирск,337,0.00532
Алейск,335,0.00529
Обь,334,0.00527
Кировск (Мурманская область),332,0.00524
Джанкой,331,0.00523
Сасово,331,0.00523
Заринск,329,0.00520
Донской,326,0.00515
Нидерланды,326,0.00515
Эстония,326,0.00515
Болгария,324,0.00512
Лениногорск,324,0.00512
Георгиевск,324,0.00512
Таиланд,324,0.00512
Удачный,322,0.00508
Ефремов,321,0.00507
Тутаев,320,0.00505
Мелеуз,319,0.00504
Городец,313,0.00494
Саки,313,0.00494
Покров,311,0.00491
Кореновск,311,0.00491
Анжеро-Судженск,308,0.00486
Канаш,308,0.00486
Пыть-Ях,307,0.00485
Котлас,305,0.00482
Абинск,305,0.00482
Саяногорск,304,0.00480
Касимов,304,0.00480
Казахстан,304,0.00480
Анадырь,302,0.00477
Старый Крым,302,0.00477
Гуково,302,0.00477
Сосновый Бор (Ленинградская область),300,0.00474
Коркино,299,0.00472
Мегион,298,0.00471
Гусев,297,0.00469
Яхрома,297,0.00469
Буинск,296,0.00467
Лебедянь,296,0.00467
Кинель,295,0.00466
Орша,295,0.00466
Динская станица,294,0.00464
Черногорск,293,0.00463
Бугуруслан,293,0.00463
Сертолово,287,0.00453
Чусовой,287,0.00453
Красное Село,287,0.00453
Зеленогорск (Красноярский край),286,0.00452
Учалы,285,0.00450
Талдом,284,0.00448
Арамиль,284,0.00448
Чебаркуль,282,0.00445
Буденновск,282,0.00445
Ливны,281,0.00444
Миллерово,281,0.00444
Ломоносов,281,0.00444
Красный Сулин,280,0.00442
Лабинск,280,0.00442
Лида,279,0.00441
Горячий Ключ,279,0.00441
Шатура,279,0.00441
Жуков,277,0.00437
Тында,276,0.00436
Белая Калитва,276,0.00436
Нарьян-Мар,274,0.00433
Рославль,272,0.00430
Боровичи,271,0.00428
Юбилейный (Московская область),268,0.00423
Курчатов,268,0.00423
Среднеуральск,267,0.00422
Клинцы,266,0.00420
Ирбит,266,0.00420
Донецк (Ростовская область),266,0.00420
Осинники,264,0.00417
Бодайбо,264,0.00417
Черемхово,264,0.00417
Заречный (Пензенская область),263,0.00415
Мыски,263,0.00415
Красноармейск (Московская область),263,0.00415
Судак,262,0.00414
Кременчуг,262,0.00414
Швеция,259,0.00409
Киров (Калужская область),259,0.00409
Рузаевка,259,0.00409
Мценск,257,0.00406
Кинешма,257,0.00406
Заречный (Свердловская область),257,0.00406
Вольск,257,0.00406
Лосино-Петровский,255,0.00403
Таджикистан,255,0.00403
Дзержинск (Беларусь),255,0.00403
Стрежевой,254,0.00401
Ахтубинск,254,0.00401
Нижегородская область,254,0.00401
Алдан,253,0.00400
Муравленко,250,0.00395
Надым,250,0.00395
Донецк,249,0.00393
Урюпинск,247,0.00390
Петергоф,247,0.00390
Амурск,246,0.00388
Скопин,246,0.00388
Арсеньев,246,0.00388
Протвино,246,0.00388
Черняховск,245,0.00387
Тайшет,244,0.00385
Зарайск,243,0.00384
Лысково,243,0.00384
Жодино,243,0.00384
Испания,243,0.00384
Луга,243,0.00384
Отрадный (Самарская область),242,0.00382
Шумерля,241,0.00381
Азнакаево,240,0.00379
Навашино,240,0.00379
Электрогорск,240,0.00379
Оленегорск,238,0.00376
Красноперекопск,237,0.00374
Еманжелинск,233,0.00368
Хотьково,233,0.00368
Семенов,233,0.00368
Костомукша,233,0.00368
Углич,233,0.00368
Советский,233,0.00368
Сергач,232,0.00366
Сосновоборск,232,0.00366
Монино,231,0.00365
Петушки,230,0.00363
Боровск,230,0.00363
Бирск,228,0.00360
Зерноград,227,0.00358
Елизово,227,0.00358
Уральский округ,227,0.00358
Слободской,225,0.00355
Вышний Волочек,223,0.00352
Удомля,223,0.00352
Бавлы,222,0.00351
Канада,221,0.00349
Верхняя Салда,221,0.00349
Лаишево,221,0.00349
Сафоново,221,0.00349
Мензелинск,221,0.00349
Югорск,220,0.00347
Березовский (Кемеровская область),218,0.00344
Белогорск (Крым),218,0.00344
Днепродзержинск,218,0.00344
Сестрорецк,218,0.00344
Ленск,217,0.00343
Краснокаменск,217,0.00343
Назарово,216,0.00341
Урай,216,0.00341
Ярцево,216,0.00341
Железногорск-Илимский,215,0.00340
Средне-Приволжский округ,215,0.00340
Краматорск,215,0.00340
Зеленогорск (Ленинградская обл),214,0.00338
Богородицк,214,0.00338
Агрыз,214,0.00338
Железноводск,213,0.00336
Мамадыш,213,0.00336
Балхаш,213,0.00336
Ванино,211,0.00333
Ряжск,211,0.00333
Слуцк,211,0.00333
Дюртюли,211,0.00333
Великий Устюг,211,0.00333
Снежинск,211,0.00333
Израиль,209,0.00330
Губаха,207,0.00327
Советская Гавань,207,0.00327
Вязники,206,0.00325
Белая Церковь,206,0.00325
Ликино-Дулево,205,0.00324
Семилуки,205,0.00324
Камень-на-Оби,205,0.00324
Строитель (Белгородская область),204,0.00322
Апшеронск,204,0.00322
Венгрия,203,0.00321
Селятино,203,0.00321
Гурзуф,203,0.00321
Рыбное,202,0.00319
Козьмодемьянск,202,0.00319
Коктебель,201,0.00317
Печора,201,0.00317
Форос,201,0.00317
Суздаль,200,0.00316
Алапаевск,198,0.00313
Тамань,198,0.00313
Сатка,197,0.00311
Япония,197,0.00311
Североморск,197,0.00311
Сегежа,195,0.00308
Жлобин,195,0.00308
Малаховка (Московская область),194,0.00306
Лангепас,194,0.00306
Ленинградская станица,193,0.00305
Дивногорск,193,0.00305
Урень,191,0.00302
Новодвинск,190,0.00300
Западно-Сибирский округ,190,0.00300
Шарыпово,190,0.00300
Саянск,190,0.00300
Володарск,189,0.00298
Томилино,188,0.00297
Кимовск,188,0.00297
Ош,187,0.00295
Софрино,187,0.00295
Ялуторовск,186,0.00294
Острогожск,186,0.00294
Сланцы,186,0.00294
Северобайкальск,185,0.00292
Арск,185,0.00292
Сухой Лог,184,0.00291
Омутнинск,184,0.00291
Озеры,183,0.00289
Новая Усмань,183,0.00289
Гагарин,182,0.00287
Славгород (Алтайский край),181,0.00286
Морозовск,181,0.00286
Качканар,181,0.00286
Зима,180,0.00284
Зверево,180,0.00284
Реж,180,0.00284
Шахунья,179,0.00283
Валуйки,178,0.00281
Радужный (Ханты-Мансийский АО - Югра),178,0.00281
Мариинск,177,0.00280
Собинка,177,0.00280
Куровское,177,0.00280
Борисполь,177,0.00280
Каневская,177,0.00280
Калач,176,0.00278
Ясногорск,176,0.00278
Эквадор,175,0.00276
Кандалакша,175,0.00276
Красногвардейское,175,0.00276
Янаул,175,0.00276
Таштагол,174,0.00275
Кронштадт,174,0.00275
Котовск (Тамбовская область),173,0.00273
Быково (Московская область),173,0.00273
Курганинск,173,0.00273
Чкаловск,172,0.00272
Аша,172,0.00272
Фролово,171,0.00270
Котельнич,171,0.00270
Красноуфимск,171,0.00270
Пущино,171,0.00270
Михайлов,170,0.00268
Молдавия,170,0.00268
Дальнегорск,170,0.00268
Капчагай,170,0.00268
Дудинка (Красноярский край),170,0.00268
Тулун,169,0.00267
Богданович,169,0.00267
Спасск-Дальний,169,0.00267
Изобильный,169,0.00267
Ревда (Свердловская область),169,0.00267
Лукоянов,168,0.00265
Радужный (Владимирская область),168,0.00265
Добрянка,168,0.00265
Первомайск (Нижегородская область),167,0.00264
Гулькевичи,167,0.00264
Новомичуринск,167,0.00264
Старая Русса,167,0.00264
Яблоновский (Республика Адыгея),166,0.00262
Австрия,166,0.00262
Фергана,166,0.00262
Мурино,166,0.00262
Звенигово,166,0.00262
Мелитополь,165,0.00261
Нефтегорск (Самарская область),165,0.00261
Бежецк,165,0.00261
Черноморское,165,0.00261
Советск (Кировская область),164,0.00259
Гурьевск (Калининградская область),164,0.00259
Вельск,163,0.00257
Приозерск,163,0.00257
Выселки,163,0.00257
Заполярный,163,0.00257
Яранск,161,0.00254
Южная Корея,161,0.00254
Ветлуга,161,0.00254
Кондрово,161,0.00254
Куйбышев,161,0.00254
Бокситогорск,160,0.00253
Сердобск,160,0.00253
Бердянск,160,0.00253
Алатырь,160,0.00253
Красноуральск,159,0.00251
Кондопога,159,0.00251
Франция,159,0.00251
Тарко-Сале,158,0.00249
Советск (Калининградская область),158,0.00249
Приморск (Ленинградская область),158,0.00249
Гурьевск (Кемеровская область),158,0.00249
Лесной,158,0.00249
Светлоград,158,0.00249
Московская область,158,0.00249
Шлиссельбург,158,0.00249
Орлов,157,0.00248
Бровары,157,0.00248
Верхний Уфалей,157,0.00248
Октябрьский (Московская область),156,0.00246
Павловская Слобода,156,0.00246
Козельск,156,0.00246
Светлогорск (Калининградская область),156,0.00246
Нижнеудинск,156,0.00246
Белокуриха,155,0.00245
Ворсма,155,0.00245
Котово,155,0.00245
Красная Поляна,155,0.00245
Словакия,155,0.00245
Киреевск,154,0.00243
Черепаново,154,0.00243
Сорочинск,154,0.00243
Нурлат,153,0.00242
Инкерман,153,0.00242
Сысерть,153,0.00242
Бобров,153,0.00242
Чернушка,152,0.00240
Северо-Центральный округ,152,0.00240
Афипский,152,0.00240
Коряжма,152,0.00240
Новоульяновск,151,0.00238
Кокошкино,151,0.00238
Белая Холуница,151,0.00238
Усть-Катав,150,0.00237
Мирный (Архангельская область),150,0.00237
Брюховецкая станица,150,0.00237
Бутурлиновка,150,0.00237
Северская станица,150,0.00237
Десногорск,150,0.00237
Забайкальск,150,0.00237
Ворсино (Калужская область),149,0.00235
Котельниково,149,0.00235
Рассказово,149,0.00235
Обухово,149,0.00235
Риддер (ВКО),149,0.00235
Уржум,148,0.00234
Ирландия,148,0.00234
Гай,148,0.00234
Малмыж,148,0.00234
Линево (Новосибирская область),147,0.00232
Кирс,147,0.00232
Узбекистан,147,0.00232
Калач-на-Дону,147,0.00232
Кораблино,146,0.00231
Новый Оскол,146,0.00231
Балтийск,146,0.00231
Норвегия,146,0.00231
Воронежская область,146,0.00231
Лазаревское,145,0.00229
Нижний Ломов,145,0.00229
Валдай,144,0.00227
Белоусово,144,0.00227
Богучар,143,0.00226
Гаврилов-Ям,143,0.00226
Перевоз,143,0.00226
Бахчисарай,142,0.00224
Сковородино,142,0.00224
Сортавала,142,0.00224
Жирновск,142,0.00224
Лесозаводск,141,0.00223
Лакинск,141,0.00223
Советский (Ханты-Мансийский АО),141,0.00223
Ипатово,141,0.00223
Бухара,141,0.00223
Топки,141,0.00223
Княгинино,141,0.00223
Красково,141,0.00223
Невьянск,140,0.00221
Богучаны,140,0.00221
Павловск (Ленинградская область),140,0.00221
Кудымкар,140,0.00221
Щучинск,140,0.00221
Николаевск-на-Амуре,140,0.00221
Спасск-Рязанский,139,0.00219
Данков,139,0.00219
Андижан,139,0.00219
Почеп,139,0.00219
Сосногорск,139,0.00219
Дальнереченск,138,0.00218
Сокол,138,0.00218
Нолинск,138,0.00218
Шарья,138,0.00218
Карпинск,137,0.00216
Маркс,137,0.00216
Дивеево,137,0.00216
Макеевка,137,0.00216
Карачев,137,0.00216
Давлеканово,137,0.00216
Мураши,136,0.00215
Никольское,136,0.00215
Каскелен,136,0.00215
Прохладный,136,0.00215
Зуевка,134,0.00212
Кольцово,133,0.00210
Североуральск,133,0.00210
Камышлов,133,0.00210
Бикин,133,0.00210
Артемовский,133,0.00210
Новозыбков,133,0.00210
Луза,132,0.00208
Камешково,132,0.00208
Верещагино,132,0.00208
Аксу (Павлодар.обл),131,0.00207
Нижняя Тура,131,0.00207
Спас-Клепики,131,0.00207
Крекшино,131,0.00207
Сосновка,131,0.00207
Ермолино (Калужская область),131,0.00207
Семикаракорск,131,0.00207
Кировград,131,0.00207
Карталы,131,0.00207
Вьетнам,131,0.00207
Румыния,130,0.00205
Бологое,130,0.00205
Другие регионы,130,0.00205
Галич (Костромская область),130,0.00205
Новокубанск,130,0.00205
Знаменск,129,0.00204
Моршанск,129,0.00204
Кудрово,129,0.00204
Никополь,128,0.00202
Сим,128,0.00202
Светогорск,127,0.00201
Белоозёрский (Московская область),127,0.00201
Горбатов,127,0.00201
Коммунарка,126,0.00199
Слюдянка,126,0.00199
Исилькуль,126,0.00199
Новоалександровск,126,0.00199
Енисейск,126,0.00199
Ужур,125,0.00197
Адыгейск,124,0.00196
Первомайское,124,0.00196
Киренск,124,0.00196
Юго-Центральный округ,124,0.00196
Южный округ,124,0.00196
Борзя,123,0.00194
Воротынец,123,0.00194
Приморско-Ахтарск,123,0.00194
Павловская,123,0.00194
Дрезна,123,0.00194
Байкальск,122,0.00193
Кущевская станица,122,0.00193
Цивильск,122,0.00193
Кобрин,121,0.00191
Фокино (Приморский край),121,0.00191
Баймак,121,0.00191
Полысаево,121,0.00191
Дятьково,121,0.00191
Усмань,121,0.00191
Барабинск,121,0.00191
Подпорожье,121,0.00191
Вознесенское (Нижегородская область),121,0.00191
Калтан,120,0.00189
Коммунар,120,0.00189
Вольгинский,120,0.00189
Лабытнанги,120,0.00189
Очер,120,0.00189
Чудово,120,0.00189
Степногорск,119,0.00188
Гудермес,119,0.00188
Похвистнево,118,0.00186
Рошаль,118,0.00186
Короча,118,0.00186
Кульсары,117,0.00185
Ардатов (Нижегородская область),117,0.00185
Тара,117,0.00185
Городище,117,0.00185
Камбарка,117,0.00185
Оха,116,0.00183
Ждановский,116,0.00183
Заводоуковск,116,0.00183
Речица,116,0.00183
Калачинск,116,0.00183
Пугачев,116,0.00183
Райчихинск,115,0.00182
Ершов,114,0.00180
Талица,114,0.00180
Беломорск,114,0.00180
Грузия,114,0.00180
Ноглики,114,0.00180
Зея,114,0.00180
Ртищево,113,0.00178
Партизанск,113,0.00178
Красноармейск (Саратовская область),113,0.00178
Зеленокумск,113,0.00178
Федяково (Нижегородская область),113,0.00178
Безенчук,112,0.00177
Асино,112,0.00177
Кодинск,112,0.00177
Лодейное Поле,112,0.00177
Бирюч,112,0.00177
Афонино,111,0.00175
Благодарный,111,0.00175
Ува,111,0.00175
Карасук,111,0.00175
Светлый,111,0.00175
Хромтау,111,0.00175
Сингапур,111,0.00175
Невель,111,0.00175
Кола,110,0.00174
Новосибирская область,110,0.00174
Малая Вишера,110,0.00174
Высокое,110,0.00174
Александровск (Пермский край),110,0.00174
Ленинградская область,110,0.00174
Ковдор,110,0.00174
Сморгонь,110,0.00174
"Михнево (Московская область, Ступинский район)",109,0.00172
Самарская область,109,0.00172
Отрадное (Ленинградская область),109,0.00172
Воскресенское,108,0.00171
Кушва,108,0.00171
Хадыженск,108,0.00171
Белоярский,108,0.00171
Шемонаиха (ВКО),108,0.00171
Кильмезь (Кировская область),107,0.00169
Отрадное,107,0.00169
Сельцо,107,0.00169
Зеленоградск,106,0.00167
Сатпаев,106,0.00167
Анна,106,0.00167
Дальнее Константиново,106,0.00167
Дегтярск,106,0.00167
Кыргызстан,106,0.00167
Шумиха,105,0.00166
Задонск,105,0.00166
Алексеевское,105,0.00166
Ковылкино,105,0.00166
Каменка (Воронежская область),105,0.00166
Аягоз (ВКО),105,0.00166
Венев,105,0.00166
Барыш,105,0.00166
Агидель,105,0.00166
Большое Козино,105,0.00166
